## evidence manifest refresh check after targeted valence-hyperion digest refresh
cwd=/home/brittonr/git/mc
date_utc=2026-06-23T20:22:38Z
command=nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/protocol-763-armor-loadout-enchantment-status-rail-2026-05-29.b3:1: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-armor-loadout-enchantment-status-validation-2026-05-29.b3:11: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:31: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:32: stale digest for compat/runner/src/scenario_core.rs: expected 0d2d7db63963dd4a918477786cd84a6ada4b5df30865a750e961cf7abd97464f, found fe747b2ee1e9b47b46f4a2162828d7d67d2c24497f5093a483d5ca721438f573
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-action-live-breadth-2026-06-22.b3:34: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-pickup-ownership-2026-05-30.b3:12: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-pickup-ownership-2026-05-30.b3:17: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-pickup-ownership-2026-05-30.b3:18: stale digest for README.md: expected 12b554f2d7d4c1dc8e3217b86361b6f74fc0682999fa3ced2178aef1a39dc364, found 2255e1ae1f92e02bd91635c4927936e454ad162311fdadae6b21ad79be928679
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-return-drop-2026-05-30.b3:12: stale digest for compat/runner/src/main.rs: expected dfbd9b4e27ed5ea485ff39847fd98de4452d9e7757aae9b5cfc1601d16ff3353, found 87e2fff619200fcfc90a49dc3d3e117968e41755f49264bf309bd6b474f87d24
evidence manifest refresh failed: docs/evidence/protocol-763-ctf-invalid-return-drop-2026-05-30.b3:17: stale digest for flake.nix: expected cea67842dde94b58c11f4ca9654fa362a3fefd86d16fa3799aae82f732a8986a, found 87005f4d17d5b20d960330977fc1d6b4ece7db0d675b49947bb41084261dbb93
