### evidence-manifest-check
+ nix run .#evidence-manifest-refresh -- --check
evidence manifest refresh failed: docs/evidence/protocol-763-production-network-safety-gate-2026-05-28.b3:12: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-public-server-authorized-safety-2026-05-30.b3:15: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-survival-coverage-reference-parity-sync-2026-05-28.b3:10: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-survival-reference-paper-fixture-gate-2026-05-28.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-survival-reference-parity-gate-2026-05-28.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/protocol-763-wan-tolerance-bounded-telemetry-2026-05-29.b3:18: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/ratchet-scenario-fallback-budget-2026-06-28.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/runner-scenario-modules-2026-06-06.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/scenario-behavior-traits-2026-06-06.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/scoreboard-team-packet-family-2026-06-06.b3:24: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/separate-compat-instrumentation-validation-2026-06-23.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/separate-receipt-model-rendering.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/server-correlation-rail-2026-06-18.b3:18: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/sign-editor-live-rail-2026-06-07.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/split-stevenarella-capture-service-validation-2026-06-29.b3:35: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/split-stevenarella-renderer-core/renderer-core.b3:66: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/stevenarella-frame-archive-validation-2026-05-31.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/stevenarella-frame-post-archive-provenance-2026-05-31.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-biome-dimension-archive-2026-06-01.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-block-entity-persistence-archive-2026-06-04.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-chest-typed-event-2026-06-22.b3:30: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-crafting-recipe-breadth-typed-event-2026-06-22.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-crash-recovery-archive-2026-06-04.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-furnace-smelting-typed-event-2026-06-22.b3:30: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-furnace-typed-event-2026-06-22.b3:30: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-hunger-food-typed-event-2026-06-25.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-hunger-health-cycle-typed-event-2026-06-22.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-mob-drop-archive-2026-06-02.b3:6: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-mob-drop-post-archive-validation-2026-06-02.b3:5: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-mob-drop-typed-event-2026-06-25.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-redstone-toggle-typed-event-2026-06-25.b3:9: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/survival-remaining-breadth-typed-event-migration-2026-06-22.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/targeted-packet-live-kv-schema-2026-06-07.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/targeted-packet-live-parity-2026-06-06.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/targeted-packet-promotions-spec-sync-2026-06-06.b3:3: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/vanilla-combat-armor-reference-archive-2026-06-04.b3:2: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
evidence manifest refresh failed: docs/evidence/vanilla-combat-armor-reference-post-archive-validation-2026-06-04.b3:4: stale digest for cairn/specs/mc-compatibility/spec.md: expected 54e47e80b949cf215b35a565155238b838c0a2605840e76d1f6a6551bbc4e07e, found 9ddc2c88ede303ec23b0276129a6b111a42331b05399680291f37145881ea880
exit_status=1
